anchor,positive
I am from Accra.,I'm from Accra.
I'm sorry.,I apologize.
The town provided a market for their vegetables.,Kurow no maa wɔn nhabannuru ho gua.
People do not have money to buy food from the market.,Nkorɔfoɔ nni sika a wɔde bɛtɔ aduane afiri dwam.
I am a little tired today.,I'm a bit tired today.
Can I know the price first?,Ðe mate ŋu anya ga si woaxe gbãa?
"Good morning friend, how are you doing today? I'm afraid I have some terrible news. Unfortunately, we lost our grandfather yesterday.","Maakye m'adamfo, ete sen nnɛ? Misuro sɛ mewɔ nsɛmbɔne bi. Awerɛhosɛm ne sɛ, yɛn nanabarima wuu ɛnnora"
What is the main objective of the study on the impact of good customer care on loan repayment in the Microfinance industry at Opportunity International Savings and Loans Company Limited?,Nɔ ni jɛɔ mɛi ni heɔ nii lɛ akwɛmɔ kpakpa mli baa yɛ nyɔmɔwoo ni awoɔ yɛ shikatoohe bibioo lɛ mli lɛ Hegbɛ ni yɔɔ Majimaji Ateŋ Savings and Loan Company Limited Mɛni ji oti titri ni yɔɔ nikasemɔ lɛ sɛɛ?
Children should be allowed to sit for exams without paying school fees.,Ɛsɛ sɛ wɔma mmofra kwan ma wɔtra sɔhwɛ mu a wontua sukuu ka.
I'd like to know more about the water quality in Ghana. Can you tell me about the sources of drinking water in the country?,Miisumɔ ni male nu ni yɔɔ Ghana lɛ he saji babaoo. Tsɔɔmɔ mi he ni nu ni anuɔ yɛ maŋ lɛ mli lɛ jɛɔ?
Many people have no access to safe water.,Nnipa pii nnya nsuo pa.
"Thank you @albantravia, my brother, this genius” wrote Clara Morgane, as a caption under her new photo",nufialagã Agnissan si fiana dzɔdzɔmenuwo la be ɑɖaŋunu siawo la te ŋu agblẽ miaƒe kadedewo me faa
How much for one?,How much does one cost?
Have a seat.,Zikpui nanɔ asiwò.
"“Hello, it’s Mrs. Kouassi","allô, aƒenɔ Kouassi yea"
I'm interested in learning about controlling acrylamide in deep-fat fried foods. Can you tell me about the different methods discussed in the research?,Miyɛ he miishɛɛ akɛ makwɛ acrylamide ni yɔɔ niyenii ni ashã waa lɛ mli lɛ nɔ. Ani obaanyɛ okɛɛ mi gbɛi srɔtoi ni awie he yɛ niiamlitaomɔ lɛ mli lɛ ahe sane?
Conflicts between husbands and wives were paramount because women delayed on the water points.,Ná okununom ne ɔyerenom ntam ntawntawdi yɛ nea ɛho hia sen biara efisɛ na mmea kyɛ wɔ nsu no mu.
What can you tell me about the study on consumer response to marketing mix variables such as price changes over time?,Mɛni obaanyɛ okɛɛ mi yɛ niiamlitaomɔ ni kɔɔ jarayeli nibii ni akɛfutuɔ nii amli tamɔ bɔ ni mɛi ni heɔ nii lɛ hereɔ jara tsakemɔi anɔ yɛ be kɛ bei amli lɛ he?
No problem.,Ɔhaw nni hɔ.
How much for one?,What do you charge for one?
Do you have a price list?,Ani oyɛ jara he wolo?
I'm trying to understand the Black-Scholes model for option pricing. Can you explain the concept of a riskless portfolio in this context?,Miibɔ mɔdɛŋ ni manu Black-Scholes nɔkwɛmɔnɔ lɛ shishi kɛha nibii ni ahala lɛ ahe jara. Ani obaanyɛ otsɔɔ shishinumɔ ni ji nitsumɔ wolo ni oshara bɛ mli lɛ mli yɛ nɛkɛ sane nɛɛ mli?
I'm trying to understand the regulations around workplace safety and health in Ghana. Can you tell me about the requirements for maintaining a general register in factories and offices?,Miibɔ mɔdɛŋ ni manu mlai ni kɔɔ nitsumɔhe shweshweeshwefeemɔ kɛ gbɔmɔtsoŋ hewalɛnamɔ he yɛ Ghana lɛ shishi. Ani obaanyɛ okɛɛ mi taomɔ nii ni kɔɔ nibii ni ataoɔ koni akɛkwɛ nibii ni aŋmala ashwie shi yɛ nitsumɔhei kɛ nitsumɔhei lɛ anɔ lɛ he?
"I said “good evening” to your mother, before taking you in my arms, and making you the faces that make you laugh so much",medo gbe na nɔwo hafi kɔwo hedze dzefefe siwo doa nukokui na wo la gɔmee
How much for one?,Ɛka ahe ma obiako?
What are you looking for?,What are you interested in?
Good evening,Evening! How are you?
Can you tell me the price?,Could you tell me the cost?
People want to become fish farmers though they lack capital.,Nkorɔfoɔ pɛ sɛ wɔyɛ namyifoɔ mpo wɔ berɛ a wɔnni sika a wɔde bɛyɛ.
Yes.,Aane.
I am from Accra.,Je viens d'Accra.
"Plants cultivated include plantains, yams, manioc, corn, sweet potatoes, millet, beans, onions, peanuts, tomatoes, and many fruits.","Afifideɛ a wodua no bi ne brɔdeɛ, bayerɛ, manioc, aburo, abrɔdwoma, atoko, adua, ayɛyɛde, atoko, ntosi, ne nnuaba pii."
Majority of the youth these days want quick money.,Mmabunu dodoɔ no ara nnansa yi pɛ sika ntɛm.
How much is this?,How much for this one?
I'm interested in learning about mercury contamination in aquatic environments. Can you tell me about the effects of mercury on fish and other marine organisms?,Miyɛ mercury ni fiteɔ nu mli shihilɛi amli lɛ he miishɛɛ. Ani obaanyɛ okɛɛ mi bɔ ni mercury lɛ saa loo kɛ ŋshɔ mli nibii krokomɛi ahe ehaa?
A study was carried out to understand the impact of the war on education.,Wɔyɛɛ nhwehwɛmu bi de te nkɛntɛnso a ɔko no nyae wɔ nhomasua so no ase.
It is good to pay off your debts on time.,Ɛyɛ papa sɛ wubetua w’aka wɔ bere ano.
Goodbye.,Au revoir.
Good morning,Ŋdi
I heard that fuel prices are going to increase in Ghana. Can you tell me more about it?,Mi nu akɛ eshwɛ fioo ni fuɛl jara baaya ŋwɛi yɛ Ghana. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
"On the other side of the street, Fred, sitting in the front of his shop, recognized my mother, and rushed to meet us.",fred si nɔ eƒe fiasemɔnu le mɔa godo la kpɔ dada dzesi eye wova kpe mí
Money for road repairs usually comes through bank loans.,"Mpɛn pii no, sika a wɔde siesie akwan no nam sikakorabea boseabɔ so na ɛba."
"It's okay, no worries.","No worries, it's fine."
Can you tell me the price?,Could you tell me how much it is?
Have a good day.,Passe une bonne journée.
I heard there was a fire outbreak at a market in Ghana. Can you tell me more about it?,Mi nu akɛ la miitso yɛ Ghana jarayelihe lɛ. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
I came across a study about mercury levels in fish from different water bodies in Ghana. Can you tell me more about it?,Mikɛ nikasemɔ ko ni kɔɔ mercury ni yɔɔ loo ni jɛ nui srɔtoi amli yɛ Ghana lɛ mli lɛ kpe. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
No problem.,Aucun problème.
Part of the money collected from taxes contributes to the building of roads.,Sika a wɔgye firi toɔtua mu no fa bi boa ma wɔyɛ akwan.
The market for agricultural products is available within and outside the country.,Ɛdwa ma kuayɛ nnuane wɔ ɔman no mu ne akyire.
I've been reading about financial market integration in Africa. Can you explain to me what it means and why it's important?,Mikane Afrika shika helɛtemɔ jarayeli ni akɛwoɔ mli lɛ he sane. Ani obaanyɛ otsɔɔ mi nɔ ni etsɔɔ kɛ nɔ hewɔ ni ehe hiaa lɛ?
Leaders need to be paid their salaries for a smooth work flow.,Ɛsɛ sɛ wotua akannifoɔ akatua na ama adwumayɛ akɔ so yie.
Feel free to look around.,Please feel free to look around
What's the price of this item?,Tell me the price.
Good afternoon,shwane kpakpa
How much does this cost?,How much would this cost me?
"Please don't distort yourself to please,",migtarɔ mia ɖokui adze ameŋu o
Thank you very much.,Thank you so much.
I plan to buy a piece of land next year.,Mayɛ nhyehyɛe sɛ mɛtɔ asase bi afe a edi hɔ no.
I've heard that the use of antibiotics in food animals can pose a risk to human health. Can you explain this risk and provide some evidence from Ghanaian research?,Minu akɛ tsofai ni gbeɔ helai ni akɛtsuɔ nii yɛ niyenii kooloi amli lɛ kɛ oshara baa adesai ahewalɛ nɔ. Ani obaanyɛ otsɔɔ oshara nɛɛ mli ni okɛ odaseyeli komɛi ni jɛ niiamlitaomɔ ni afee yɛ Ghana lɛ mli lɛ aha?
What happened to the mobile money vendor at Awutu Adawukwa on the thirtieth of October in the year twenty twenty?,"Mɛni ba mɔ ni hɔ̃ɔ shika yɛ tɛlifoŋ nɔ yɛ Authu Adaukwa lɛ nɔ yɛ Otukwajaŋ 30, 2020?"
No problem.,Don't worry about it.
I've been reading about Sustainable Public Procurement (SPP) and its benefits. Can you tell me more about how it can drive markets towards cleaner methods of income generation?,Mikane Maŋ Nibii Ahemɔ ni Yaa Nɔ Daa (SPP) kɛ sɛɛnamɔi ni jɛɔ mli baa lɛ he sane. Ani obaanyɛ okɛɛ mi babaoo yɛ bɔ ni ekɛ jarayeli hei lɛ yaa shika ni anáa kɛjɛɔ gbɛi krɔŋŋ nɔ lɛ he?
"Hello auntie,",nɔɖi ŋdi
Good morning,"Good morning, madam."
How old are you?,Ƒe nenie nèxɔ?
"People should learn to be integral, especially in issues regarding money, as honesty and transparency are crucial for financial stability and trust.","Ɛsɛ sɛ nkorɔfoɔ sua sɛ wɔbɛyɛ ade titire, ne titire wɔ nsɛm a ɛfa sika ho mu, ɛfiri sɛ nokorɛdie ne deɛ ɛda adi pefee ho hia kɛse ma sikasɛm mu ahotɔ ne ahotɔsoɔ."
How much per basket?,How much does a basket cost?
I came across a research article about financial literacy among market women in Ghana. Can you tell me more about the study's objectives?,Miyana niiamlitaomɔ wolo ko ni kɔɔ shika he nikasemɔ he yɛ jarayeli yei ni yɔɔ Ghana lɛ ateŋ. Ani obaanyɛ okɛɛ mi otii ni yɔɔ nikasemɔ lɛ mli lɛ ahe saji babaoo?
Is this expensive?,Ðe esia xɔ asia?
I understood what that meant,mese esia gɔme
Mobile money agents are involved in recent crimes.,Fon sika ho adwumayɛfo de wɔn ho hyɛ nsɛmmɔnedi a ɛkɔ so nnansa yi mu.
Sorry to bother you.,Sorry for the trouble.
I heard that energy drinks are bad for your health. What did Professor Agyeman Badu Akosa say about them in his recent speech?,Minu akɛ hewalɛ nibii ni anuɔ lɛ ehiii kɛha ohewalɛ. Mɛni Professor Agyeman Badu Akosa wie yɛ amɛhe yɛ ewiemɔ ni ewie nyɛsɛɛ nɛɛ mli?
What is the news about GB Foods Ghana?,Mɛni ji adafitswaa ni kɔɔ GB Foods Ghana he?
What is the main proposal made by President Joe Biden to address the issue of high rent prices in the US?,Mɛni ji Maŋtsɛ Joe Biden susumɔ titri ni ekɛbaatsu naagba ni kɔɔ shĩa ni akɛhaa mɛi ni yɔɔ U.S. lɛ he lɛ he nii?
How much for two?,How much do I pay for two?
"I will always love him, dear friends","malɔe ɖaa, xɔ̃nyewo"
I'm interested in learning more about the Ghanaian insurance market. What are some challenges that insurance companies face when trying to increase insurance penetration?,Miyɛ he miishɛɛ akɛ makase inshuɔrans jarayeli ni yɔɔ Ghana lɛ he nii babaoo. Mɛni ji naagbai komɛi ni inshuɔrans nitsumɔhei kɛkpeɔ beni amɛbɔɔ mɔdɛŋ ni amɛha shika ni amɛwoɔ lɛ aya hiɛ lɛ?
The municipal council has improved water supply in refugee-hosting communities.,Mansini no kansele no atu mpɔn wɔ nsuo kyekyɛ mu wɔ baabi a atubrafoɔ teɛ.
email * website * Good evening Mrs.,"naneke mefia be mavan,o yaʋalanu ŋlɔm o"
How much would everything cost?,How much will everything cost?
After all the money he had put in he didn't go through the nominations.,Sika a ɔde ahyɛ mu nyinaa akyi no wankɔ nominations no mu.
I own two shops in the trading centre.,Mewɔ sotɔɔ abien wɔ aguadibea hɔ.
Welcome,Wɔhereɔ bo
What's the price of this item?,Quel est le prix de cet article ?
Do you have a price list?,Is your price list available?
Welcome,Glad to have you.
I'm trying to understand the functionality of the Network Management Center (NMC) in a GSM network. Can you explain its role?,"Yɛ GSM mli lɛ, miitao manu bɔ ni Network Management Center (NMC) lɛ tsuɔ nii ehaa yɛ tsɔne ko mli lɛ shishi. Ani obaanyɛ otsɔɔ gbɛfaŋnɔ lɛ mli?"
The money was used by vendors in the village.,sika no wɔn a wɔdi ho dwuma no na ɛde dii dwuma wɔ akuraa no ase.
"“By the grace of God, I have a devoted family and awesome friends who lend a helping hand here and there.”","to Mawu ƒe qlɔdo me la ,ƒometɔwo kple xɔlɔ̃wo wɔa kpekpeɖeŋu geɖe nam"
"I want him to understand that I am imperfect and that I could make mistakes,",medi be nenya be mede blibo eye be mateŋu da vo faa
Farmers were forced to plant mangoes and citrus fruits.,Wɔhyɛɛ akuafo no ma woduaa mango ne nnuaba ahorow.
"I want him to buy me white lily flowers and make me laugh,",medi be neƒlẽ Lys Blanches seƒoƒowo nam eye woana makonu
"Coffee growing has sustained the lives of many people in Ghana, nevertheless, it is one of the cash crops grown in Ghana.","Kafe a wodua no ama nnipa bebree asetena akɔ so wɔ Ghana, ne nyinaa mu no, ɛyɛ sika nnɔbae a wodua wɔ Ghana no mu biako."
What's the price of this item?,What are you selling this for?
The poor man has no idea what his daughter is doing with her life and I understand that.,menya nu si via wɔna kple eƒe agbe o eye mese esia gɔme nae
Take care.,Look after yourself.
Do you have a price list?,Avez-vous une liste de prix?
""" » comment * name * JavaScript is currently disabled.",alee kee
What is the name of the philanthropist who recently donated a classroom block to a school in Ghana?,Mɛni ji mɔ ni feɔ mɛi ejurɔ ni kɛ klas tsũ ko ha skul ko ni yɔɔ Ghana lɛ nyɛsɛɛ nɛɛ gbɛi?
What are the common methods used to process pepper fruits in Ghana?,Mɛni ji gbɛi ni afɔɔ nɔ afeɔ pepper aduawai yɛ Ghana?
People in the village cook food on firewood.,Nkorɔfoɔ a wɔwɔ nkuraase no nua aduane wɔ gya so.
The district pledged to take care of the deceased's family werfare.,Mansini no hyɛɛ bɔ sɛ wɔbɛhwɛ sika a wɔgyegye de hwɛ owufoɔ bi abusuafoɔ no
How is your family?,Comment va ta famille?
Can you give me today's price?,Can you tell me today's rate?
What is Vodafone Group Plc.'s presence in Africa and how many customers do they have?,Nihɔɔlɔi enyiɛ Vodafone Kuu Plc lɛ yɔɔ yɛ Afrika?
What happened during the 'Hands Off Our Hotels' demonstration in Ghana on the eighteenth of June in the year twenty twenty-four?,Mɛni ba ‘Hands of Our Hotels’ toiŋjɔlɛ nifeemɔ ni tee nɔ yɛ Ghana yɛ June 18th afii nyɔŋmai enyɔ kɛ ejwɛ ni eho nɛ lɛ nɔ?
Thanks and farewell to a glorious pyrotechnician in the club’s history,akpedada kple bubu na agedola gãtɔwp dometɔ ɖeka
"People do not understand the objectives of the government policy towards cattle,",Nkorɔfoɔ nte aban nhyehyɛeɛ a ɛfa anantwie ho no botaeɛ ase.
I've been reading about water quality in Ghana and I'm shocked by the statistics. Can you tell me more about the current state of water supply in Ghana?,Mikane nu ni yɔɔ Ghana lɛ he saji ni akɔntaabuu lɛ eha mihe efee mi yaa. Ani obaanyɛ okɛɛ mi nu ni akɛhaa yɛ Ghana lɛ he saji babaoo?
"What is the real producer price of a commodity, and how does it affect the production decision-making process?","Mɛni ji nibii ni afee lɛ ahe nyɔmɔwoo diɛŋtsɛ, ni te enaa yiŋkpɛɛ ni akpɛɔ yɛ nibii ni afee lɛ he lɛ nɔ hewalɛ eha tɛŋŋ?"
The community is able to get the food cheaply since it is grown locally.,Mpɔtam hɔfo tumi nya aduan no a ne bo nyɛ den efisɛ wodua wɔ mpɔtam hɔ.
What would you like to buy?,What can I get for you today?
A woman was convicted for illegal possession of meat.,Wobuu ɔbea bi fɔ sɛ okura nam a mmara mma ho kwan.
Maybe a little less because I will build my family but you can always count on me,ate ŋu anye be esia aɖiɖi vie elabe nye hã mado nye ƒome gake ne ehiãm la akpɔm
How much for two?,Ɛka ahe ma nnipa baanu?
What are some of the limitations of the study on family planning needs in Ghana?,Mɛni ji husui komɛi ni yɔɔ niiamlitaomɔ ni kɔɔ weku gbɛjianɔtoo he hiamɔ nii ahe yɛ Ghana lɛ he?
People are encouraged to grow both food and cash crops.,Wɔhyɛ nkorɔfoɔ nkuran sɛ wonnua nnuane ne sika nnɔbaeɛ nyinaa.
The school needs money to construct extra classrooms.,Sukuu no hia sika na wɔde asi adesuadan afoforo.
The bank has taken over the property for its client who failed to pay the loan.,Sikakorabea no agye agyapade no ama ne client a wantumi antua bosea no.
I'm trying to understand the concept of lexical stress in English. Can you explain what stressed and unstressed syllables are?,Miibɔ mɔdɛŋ ni manu wiemɔ ni haa mɔ tsui nyɔɔ emli lɛ shishi yɛ Blɔfo mli. Ani obaanyɛ otsɔɔ nɔ ni wiemɔi ni ama nɔ mi kɛ nɔ ni amaaa nɔ mi lɛ ji?
I've heard that some Ghanaian firms struggle to harness the full benefits of Customer Relationship Management (CRM). Can you tell me more about this?,Minu akɛ nitsumɔhei komɛi ni yɔɔ Ghana lɛ bɔɔ mɔdɛŋ koni amɛkɛ nibii ni akɛtsuɔ nii yɛ mɛi ni heɔ nii lɛ ateŋ lɛ atsu nii jogbaŋŋ. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
"“Leaving your family to join a new one, more united, where faith is shared.”",akple ame ƒe ƒometɔ ɖi aɖage ɖe ƒome bubu sime ɖekawɔwɔ kple xɔse le
The new minister was arrested for embezzling government money.,Wɔkyeree ɔsomfo foforo no sɛ ɔsɛee aban sika.
"“If I understood correctly, that’s the definition of marital rape, right?",nu sia kuɖe miade akɔdasewo ŋu. Dumevi ɖe sia ɖe sie xɔ ƒè... Ate ŋu ayi akɔdaƒe faa
What measures has the Bank of Ghana taken to strengthen Anti-Money Laundering and Combating the Financing of Terrorism activities?,Mɛɛ gbɛi Ghana Bank of Ghana lɛ etsɔ nɔ ekɛ shika ni akɛtsuɔ nii yɛ gbɛ ni ejaaa nɔ kɛ shika ni akɛwoɔ awuiyelɔi anifeemɔi amli lɛ awu?
What's the cost of all these?,What will all these cost me?
I've been reading about linear programming problems and their applications in water supply system design. Can you explain what strongly unbounded intervals are in this context?,Mikane linear programming naagbai kɛ bɔ ni akɛtsuɔ nii yɛ nu ni akɛhaa gbɛjianɔtoo lɛ he mfonirifeemɔ mli lɛ he nii. Ani obaanyɛ otsɔɔ nɔ ni ji sɛɛkuu ni bɛ husu ni yɔɔ shiŋŋ yɛ sane nɛɛ mli lɛ mli?
Agricultural products are on high demand in the world market.,Wɔhwehwɛ kuayɛ nneɛma kɛse wɔ wiase afanaa nyinaa dwa so.
"Every morning he went hunting, searching the entire bush in vain.",Ŋdi sia ŋdi la eyia adegbe ɖia tsa le avea katã me gake kpao.
Yes.,Ɛ̃.
What led to the intense price wars in the Ghana telecoms market?,Mɛni kɛ jara he ta ni naa wa ni yɔɔ Ghana tɛlifoŋ jarayelihe lɛ eba?
"I've been struggling with acne for a while now, and I've heard that my diet could be affecting my skin. What are some foods that can help fight acne?","Mikɛ akne miiwuu be fioo nɛ, ni minu akɛ niyenii ni miyeɔ lɛ baanyɛ afite mihewolo. Mɛni ji niyenii komɛi ni yeɔ ebuaa ni ekɛ akne wuɔ?"
"Created on August 23, 2005, this private school has the lowest costs of the area",woʒu suku sia le dasiamime 23 lia dzi le ƒè 2005 me eye mexɔ ga sɔgbɔ o
Is this the final price?,Is this the final amount?
"How are you doing,",aleke ne fɔ̃ ɖo
Good afternoon,"Good afternoon, boss."
Can I know the price first?,Please tell me the cost.
A woman was arrested for burning her child's fingers because of stealing food.,Wɔkyee ɔbaa bi too mu sɛ wahye ne ba nsatea ɛfiri sɛ ɔkɔ wiaa aduane nti.
"It is worth noting that towns are integral parts of the district, and the availability of a market for crops presents opportunities for farmers","Ɛfata sɛ yɛhyɛ no nsow sɛ nkurow yɛ mansini no fã titiriw, na gua a ɛwɔ hɔ ma nnɔbae no ma akuafo nya hokwan ahorow"
Can you tell me about the significance of effective communication in today's market? I'm particularly interested in the Ghanaian context.,Ani obaanyɛ okɛɛ mi bɔ ni sanegbaa ni mɔɔ shi jogbaŋŋ he hiaa ha yɛ jarayeli mli ŋmɛnɛ lɛ he sane? Miyɛ Ghana shihilɛ lɛ he miishɛɛ titri.
I understand.,"Okay, I understand."
Is this the final price?,So eyi ne bo a etwa to?
I've heard that Bisphenol A (BPA) is used in food packaging. What exactly is BPA and how is it used?,Minu akɛ akɛ Bisphenol A (BPA) tsuɔ nii yɛ niyenii ni akɛwoɔ tsɔne mli lɛ mli. Mɛni diɛŋtsɛ ji BPA ni te akɛtsuɔ nii ahaa tɛŋŋ?
"We discover or rediscover the atrocities experienced by black people, torn from their families to be sold as slaves,",miekpɔ nugbegblẽ siwo katã me ameyibo to le esime woxɔwo le woƒe ƒomewo si yi ɖa  dzrawo abe ameƒeƒle ene
"When the merchant returns, she said to herself, he will find the money instead of the canary.","Ne nudzrala va la, ele ga kpɔge le zevia teƒea. Esusu nenema."
Thank you for coming.,Thank you for visiting.
Districts have used the money that has been allocated to them in the budget.,Amansin de sika a wɔde ama wɔn wɔ sikasɛm nhyehyɛe no mu no adi dwuma.
I am very grateful to God for seeing me through this year.,Meda Onyankopɔn ase pa ara sɛ wahu me wɔ afe yi mu.
I'm interested in learning about the capitation payment system in Ghana's healthcare. Can you tell me more about it?,Miyɛ capitation nyɔmɔwoo gbɛjianɔtoo ni yɔɔ helatsamɔ mli yɛ Ghana lɛ he miishɛɛ. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
I'm interested in learning about rice genetics research in Ghana. Can you tell me about some of the key studies and findings in this area?,Miyɛ ŋmãa mli nibii amlitaomɔ yɛ Ghana he miishɛɛ. Ani obaanyɛ okɛɛ mi niiamlitaomɔi titrii kɛ nibii ni ana yɛ nɛkɛ he nɛɛ ekomɛi?
"Cloé is beautiful, comes from a rich family and is about to marry the perfect man,",Cloé nya kpɔ eye wotso hotsuitɔ  ƒome me le dzadzra ɖo wɔ na srɔ̃ɖeɖe
You're welcome here.,Feel welcome here
Men understand pregnancy complications when they go for antenatal visits.,Mmarima te nyinsɛn mu nsɛnnennen ase bere a wɔkɔsra wɔn ansa na wɔawo no.
"Trees play a vital role in providing fruits, and their preservation is essential for sustaining this resource.","Nnua di dwuma titire wɔ nnuaba a wɔde ma mu, na ɛho hia sɛ wɔkora so na ama saa adeɛ yi atena hɔ."
What is the main concern regarding PFAS in drinking water in Ghana?,Mɛni ji sane titri ni kɔɔ PFAS ni yɔɔ nu ni anuɔ yɛ Ghana lɛ he?
No.,Ao.
And I will say thank you,mada akpe na wo
Is this expensive?,So eyi bo yɛ den?
What is the name of the Ghanaian playwright who successfully staged his first production outside Ghana?,Namɔ ji Ghana drama ŋmalɔ ni ye omanye yɛ eklɛŋklɛŋ sini ni ejie lɛ kpo yɛ Ghana kponɔgbɛ lɛ mli?
I heard that the banking industry in Ghana is doing well. Can you tell me more about that?,Minu akɛ shikatoohe nitsumɔ ni yɔɔ Ghana lɛ miiya nɔ jogbaŋŋ. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
I'm interested in learning about the relationship between trust and customer satisfaction in Ghana Commercial Bank Ltd. Can you tell me more about a study that was conducted on this topic?,Miyɛ wekukpaa ni yɔɔ hekɛnɔfɔɔ kɛ mɛi ni heɔ nii lɛ atsui ni nyɔɔ mɔ mli yɛ Commercial Bank of Ghana Limited lɛ teŋ lɛ he miishɛɛ. Ani obaanyɛ okɛɛ mi niiamlitaomɔ ni kɔɔ saneyitso nɛɛ he lɛ he saji babaoo?
Good evening,Good evening to you.
"I heard that the Trade Minister of Ghana, K.T. Hammond, has been discussing the prices of cement in the country. Can you tell me more about what he said?",Ghana Jarayeli He Nɔkwɛlɔ K.T. Hammond esusu simenti jara ni yɔɔ maŋ lɛ mli lɛ he. Ani obaanyɛ okɛɛ mi nɔ ni ewie lɛ he saji babaoo?
More financial training is required before the money is sent to women savings groups.,Sikasɛm ho ntetee pii ho hia ansa na wɔde sika no akɔma mmea sikakorabea akuw.
"In the end, with everyone's contributions, and what we already had available, this camp cost around 50,000 euros.","le nuwuwu la, kple amewo ƒe alɔdo kpakple nusi le miasi la mɔkeke sia xɔ franc 50000"
I've heard that Ghana has a large market for used machinery and automobile parts. Can you tell me more about this?,Minu akɛ Ghana yɛ jarayelihe wulu ko ni akɛ tsɔnei ni akɛtsu nii momo kɛ tsɔne mli nibii tsuɔ nii yɛ mli. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
I came across a study about the relationship between service quality and customer satisfaction in Ghana. Can you tell me more about the dimensions of service quality that were examined in this study?,Mikɛ nikasemɔ ko ni kɔɔ wekukpaa ni yɔɔ nitsumɔ ni hi jogbaŋŋ kɛ mɛi ni heɔ nii lɛ atsui ni nyɔɔ mɔ mli lɛ teŋ lɛ kpe yɛ Ghana. Ani obaanyɛ okɛɛ mi babaoo yɛ sɔɔmɔ kpakpa ni akwɛ mli yɛ nikasemɔ nɛɛ mli lɛ he?
How much for two?,Enyiɛ ahɔɔ enyɔ?
"I'm trying to understand the differences between various effect size estimators. Can you explain the differences between Cohen's d, Hedges' g, Glass' Δ, Cli's d, and Probability of Superiority?","Miibɔ mɔdɛŋ ni manu srɔtofeemɔ ni yɔɔ sɛɛnamɔi srɔtoi ni jɛɔ mli baa lɛ ateŋ lɛ shishi. Ani obaanyɛ otsɔɔ srɔtofeemɔ ni yɔɔ Cohen d, Hedges g, Glass Δ, Cli d kɛ Probability of Superior lɛ teŋ lɛ mli?"
"Her grandfather is dying and her convalescing mother begs her to go and support the family in England,",Tɔgbuia le kukum eye nɔa si le dɔ badzi la ɖe kuku nɛ be woava kpe ɖe ƒomea ŋu le Angleterre
I've been reading about the safety of milk-based foods in Ghana. Can you tell me about the contamination levels found in Burkina drinks?,Mikane bɔ ni niyenii ni akɛ mliki fee lɛ yɔɔ shweshweeshwe ha yɛ Ghana lɛ he sane. Ani obaanyɛ okɛɛ mi bɔ ni Burkina nibii ni anuɔ lɛ amli muji lɛ fa ha?
I am from Accra.,I come from Accra.
I heard that Ghana is experiencing food shortages and price hikes. What's the current situation?,Minu akɛ Ghana miiye niyenii ni faaa kɛ jara ni yaa hiɛ. Mɛni ji shihilɛ ni yɔɔ amrɔ nɛɛ?
I've heard that water hyacinth is a major problem in Ghana's water bodies. Can you tell me more about it?,Minu akɛ nu mli hyacinth ji naagba wulu ko yɛ nu mli hei ni yɔɔ Ghana lɛ. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
How much per basket?,How much is one basket?
I've heard that wastewater irrigation can pose health risks to consumers of food crops. What are some of the key guidelines for safe use of wastewater in agriculture?,Minu akɛ nu fɔŋ ni akɛshwieɔ shi lɛ kɛ hewalɛnamɔ he osharai baa mɛi ni kɛ niyenii ŋmɔshi nibii tsuɔ nii lɛ anɔ. Mɛni ji gbɛtsɔɔmɔi titrii komɛi ni kɔɔ nu ni fiteɔ nii ni akɛtsuɔ nii yɛ okwaayeli mli lɛ he?
I've been hearing about Nigeria's increase in local rice production. Is it true that the country is actually exporting rice?,Mi nu akɛ Nigeria maŋ lɛ mli ŋmãa ni afeɔ lɛ etee hiɛ. Ani maŋ lɛ kɛ ŋmãa yaa maŋsɛɛ diɛŋtsɛ?
The vendors complained about the security of the market.,Adetɔnfo no nwiinwii wɔ gua no ahobammɔ ho.
What is the name of the song that Ellah released a video for?,Mɛni ji lala ni Elahi jie vidio kɛha lɛ lɛ gbɛi?
"also, if our goal is to please men rather than God, there is something wrong,","Ne nye be miaƒe tamesusue nye be miadze agbetɔwo ŋu wu Mawu la, ekema naɖe mele yiyim nyui o"
How much would everything cost?,Ná biribiara bɛbɔ ka ahe?
I heard that Google is planning to pay some news outlets for their content. Is this true?,Mi nu akɛ Google eto gbɛjianɔ koni ewo adafitswaa woji komɛi nyɔmɔ yɛ amɛnibii lɛ ahewɔ. Ani enɛ ji anɔkwale?
How much would everything cost?,How much is everything together?
One rebel tried to sell a gun at the border.,Otuatewfo bi bɔɔ mmɔden sɛ ɔbɛtɔn tuo wɔ ɔhye no so.
How much does this cost?,Enyiɛ ahɔɔ shika nɛɛ?
I'm not going to pay for something I didn't do.,Nye ya nye mele fe xe ge de ame bubu ƒe nuvɔ ta o.
